cell	scenario	repeat	experiment_source_commit	plan_commit	profile_sha256	outcome	response_sha256	endpoint_call_count
A	S1	1	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
A	S1	2	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
A	S1	3	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
A	S2	1	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
A	S2	2	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
A	S2	3	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
A	S6	1	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
A	S6	2	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
A	S6	3	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	admitted	sha256:c475e5226393c1cb335494051ab6bccc663d4512e9868b145d687015d508eced	1
B	S1	1	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S1	2	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S1	3	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S2	1	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S2	2	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S2	3	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S6	1	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S6	2	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S6	3	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
C	S1	1	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:7c59c4b49104bcd28dc35671d9f643934db0327dda74d123353ff963ffd25cc2	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
C	S1	2	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:7c59c4b49104bcd28dc35671d9f643934db0327dda74d123353ff963ffd25cc2	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
C	S1	3	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:7c59c4b49104bcd28dc35671d9f643934db0327dda74d123353ff963ffd25cc2	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
C	S2	1	b050185239fc71705cccbf0fef5ccdbbccd9b193	f491621adfa899c0029933f2005604035a099c5c	sha256:7c59c4b49104bcd28dc35671d9f643934db0327dda74d123353ff963ffd25cc2	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
