cell	scenario	repeat	experiment_source_commit	plan_commit	profile_sha256	outcome	response_sha256	endpoint_call_count
A	S1	1	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-UnknownTag	sha256:dd04dd7820d4e6ecac035e90ea543d476ab4d3d7c9815c7132b2568806f04220	1
A	S1	2	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-MissingRoot	sha256:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	1
A	S1	3	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-UnknownTag	sha256:dd04dd7820d4e6ecac035e90ea543d476ab4d3d7c9815c7132b2568806f04220	1
A	S2	1	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-UnknownTag	sha256:dd04dd7820d4e6ecac035e90ea543d476ab4d3d7c9815c7132b2568806f04220	1
A	S2	2	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-UnknownTag	sha256:dd04dd7820d4e6ecac035e90ea543d476ab4d3d7c9815c7132b2568806f04220	1
A	S2	3	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-UnknownTag	sha256:dd04dd7820d4e6ecac035e90ea543d476ab4d3d7c9815c7132b2568806f04220	1
A	S6	1	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-UnknownTag	sha256:dd04dd7820d4e6ecac035e90ea543d476ab4d3d7c9815c7132b2568806f04220	1
A	S6	2	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-UnknownTag	sha256:dd04dd7820d4e6ecac035e90ea543d476ab4d3d7c9815c7132b2568806f04220	1
A	S6	3	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:1777d5556d7bdd8deb1c9c9f29b6180744462ec0a3e3790634b80846354bbdc5	parse-fault-UnknownTag	sha256:dd04dd7820d4e6ecac035e90ea543d476ab4d3d7c9815c7132b2568806f04220	1
B	S1	1	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S1	2	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S1	3	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
B	S2	1	21daf51064781b0af3dca1b4be712a1d87fcd75c	f491621adfa899c0029933f2005604035a099c5c	sha256:476920f7cb4031e0fad0cf9514306a64d653c67796bbf031f77de2023d5e97b8	static-rejected	sha256:248e3eb57736b6369ca13fd76ce33b6df47b96dc69854180bc6b33ff99249191	0
