field	value
source_commit	b050185239fc71705cccbf0fef5ccdbbccd9b193
scenario	long-artifact-recovery
scenario_sha256	sha256:427dd9ac8d86494f33ff5a608fa0b4a4c7efbc2b49ff90ecc8fb495254d60d84
binary_sha256	sha256:b936d103cee1b38a6c0add414422b4c970fd736196f90fbe6b13d4a9b388298f
mode	run
semantic_status	evaluated
outcome	passed
semantic_detail	measured-native-facts
duration_seconds	903
provider_exchange_count	60
activity_count	249
command_count	1
command_capture_sha256	sha256:8b4b1ab86bf1fd8ccb1c2404edf334b22bbdf1025d8a770c7ef4938bb72e54c3
workspace_before_sha256	sha256:48726a6bdf721dcef7b74f9774f6d7b403ced0b94e67b83faa66c134c46a77b9
workspace_after_sha256	sha256:6f6aaed39b129f3d8e31a01f5bb34b5abcae4782c5bf4e0928bbec1313cdc2c5
workspace_diff_sha256	sha256:09fa04e63273c7e9c45060789c598c2f5b2b98508dadf12e34613bb60a4ac1f5
measured_owner_turn_count	5
measured_runtime_decision_count	60
measured_progress_decision_count	14
measured_useful_decision_count	60
measured_provider_exchange_count	60
measured_activity_count	249
fact_artifact_readme_path	artifacts/documents/world-history/README.md
fact_artifact_child_link_fingerprint	sha256:8ca94cbe137fb581b3e6eaebef7078bbef4b6807f9bc31fb7174f1dab85eb900
fact_artifact_child_count	12
fact_readme_link_count	12
fact_nonplaceholder_unit_count	13
fact_empty_unit_count	0
fact_aggregate_word_count	1694
fact_source_lineage_count	26
fact_current_revision_count	13
fact_report_current_check_count	42
fact_output_limit_recovery_count	12
fact_strategy_change_count	2
fact_truncated_revision_count	0
fact_restart_resume_count	13
fact_early_completion_count	0
